394	Sinorhizobium fredii NGR234	6185	18011	C
882	Desulfovibrio vulgaris str. Hildenborough	3205	15829	C
883	Desulfovibrio vulgaris str. Miyazaki F	3142	15867	C
1140	Synechococcus elongatus PCC 7942	2609	11966	C
1148	Synechocystis sp. PCC 6803	3152	10608	C
1507	Clostridium sp. ATCC 29733	3044	13008	C
1511	[Clostridium] sticklandii	2501	12241	C
2309	Pyrodictium occultum	1535	4265	C
3694	Populus trichocarpa	32626	24549	C
3702	Arabidopsis thaliana	25024	25837	C
3760	Prunus persica	23044	23305	C
3847	Glycine max	42354	27455	C
3880	Medicago truncatula	24370	21200	C
4081	Solanum lycopersicum	26229	25173	C
4113	Solanum tuberosum	28591	24751	C
4533	Oryza brachyantha	23871	27105	C
4536	Oryza nivara	32144	34563	C
4537	Oryza punctata	26869	29013	C
4538	Oryza glaberrima	30162	31159	C
4555	Setaria italica	27642	29032	C
4558	Sorghum bicolor	28456	29424	C
4565	Triticum aestivum	74605	33485	C
4572	Triticum urartu	27220	27682	C
4577	Zea mays	29893	27550	C
6087	Hydra vulgaris	14959	15012	M
6183	Schistosoma mansoni	8511	11334	M
6239	Caenorhabditis elegans	18071	37595	C
6279	Brugia malayi	11019	24954	C
6282	Onchocerca volvulus	10488	25288	C
6334	Trichinella spiralis	10675	15203	M
6412	Helobdella robusta	17554	25011	C
6526	Biomphalaria glabrata	9921	16989	M
6669	Daphnia pulex	22377	40459	C
6921	Loxosceles reclusa	17313	33479	M
6945	Ixodes scapularis	14017	38481	C
6973	Blattella germanica	24906	43390	M
7029	Acyrthosiphon pisum	28860	45198	C
7070	Tribolium castaneum	13580	54174	M
7091	Bombyx mori	13121	58903	C
7130	Manduca sexta	13988	58138	C
7159	Aedes aegypti	14574	66033	C
7165	Anopheles gambiae	12437	76724	C
7167	Anopheles albimanus	10843	72422	C
7168	Anopheles dirus	11742	77588	C
7173	Anopheles arabiensis	12294	80861	C
7176	Culex quinquefasciatus	17205	70555	C
7200	Lutzomyia longipalpis	9280	47640	C
7209	Loa loa	11151	26483	C
7213	Ceratitis capitata	14356	74488	C
7217	Drosophila ananassae	13742	86510	C
7220	Drosophila erecta	13345	87863	C
7222	Drosophila grimshawi	13883	82666	C
7227	Drosophila melanogaster	13605	88799	C
7230	Drosophila mojavensis	12899	83584	C
7234	Drosophila persimilis	14914	88646	C
7237	Drosophila pseudoobscura	13899	87381	C
7238	Drosophila sechellia	14634	88868	C
7240	Drosophila simulans	13690	89434	C
7244	Drosophila virilis	13145	84546	C
7245	Drosophila yakuba	14332	88994	C
7260	Drosophila willistoni	13240	82913	C
7370	Musca domestica	16232	70357	C
7375	Lucilia cuprina	12050	63788	C
7394	Glossina morsitans	11369	72162	C
7395	Glossina austeni	17031	104533	C
7396	Glossina fuscipes	18372	112222	C
7397	Glossina palpalis	18919	117060	C
7398	Glossina pallidipes	16341	101443	C
7425	Nasonia vitripennis	19762	58785	C
7460	Apis mellifera	12101	91157	C
7461	Apis cerana	8915	70916	C
7462	Apis dorsata	10452	82818	C
7463	Apis florea	11816	88565	C
7493	Trichogramma pretiosum	11988	50623	C
7536	Oncopeltus fasciatus	15559	42158	M
7539	Leptinotarsa decemlineata	21659	64314	C
7668	Strongylocentrotus purpuratus	24318	20561	C
7719	Ciona intestinalis	11423	15347	C
7739	Branchiostoma floridae	40504	24783	C
7757	Petromyzon marinus	9677	18867	M
7868	Callorhinchus milii	17077	31284	C
7897	Latimeria chalumnae	19223	33113	C
7918	Lepisosteus oculatus	17967	48539	C
7950	Clupea harengus	23188	51344	C
7955	Danio rerio	24335	52831	C
7994	Astyanax mexicanus	21895	50709	C
8010	Esox lucius	23672	53647	C
8049	Gadus morhua	19378	47570	C
8078	Fundulus heteroclitus	22621	72784	C
8083	Xiphophorus maculatus	20169	69528	C
8090	Oryzias latipes	18768	46112	C
8128	Oreochromis niloticus	21262	68492	C
8153	Haplochromis burtoni	23226	76700	C
8208	Notothenia coriiceps	22827	49521	M
8364	Xenopus (Silurana) tropicalis	17958	42479	C
8469	Chelonia mydas	17240	54455	C
8496	Alligator mississippiensis	17920	63855	C
8665	Ophiophagus hannah	15247	62442	M
8801	Struthio camelus	13723	57522	C
8839	Anas platyrhynchos	15041	70564	C
8897	Chaetura pelagica	13046	61823	C
8932	Columba livia	13037	60570	C
